KWH JANUARY 2010, KWH FEBRUARY 2010, KWH MARCH 2010, KWH APRIL 2010, KWH MAY 2010, KWH JUNE 2010, KWH JULY 2010, KWH AUGUST 2010, KWH SEPTEMBER 2010, KWH OCTOBER 2010, KWH NOVEMBER 2010, KWH DECEMBER 2010
201, 795, 736, 710, 1168, 1509, 1735, 2620, 2812, 1846, 2141, 4396
11829, 13941, 8280, 7628, 7968, 9121, 8538, 7496, 6605, 14279, 23724, 26269
0, 0, 556, 1025, 1434, 1533, 1659, 2407, 2723, 3323, 3202, 1189
4513, 4685, 3828, 4446, 7537, 12435, 11592, 7105, 5020, 6161, 7444, 7494
1586, 1290, 774, 1279, 1751, 2583, 2747, 2798, 1308, 1688, 2621, 2546
1796, 1947, 1517, 1841, 2132, 3182, 4304, 2860, 3041, 2893, 4654, 4098
6621, 7250, 4683, 3769, 3388, 4232, 5446, 3602, 4609, 5948, 11348, 10032
202, 319, 367, 453, 673, 992, 938, 628, 327, 289, 241, 675
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4201, 4228, 3688, 4062, 6024, 7592, 8205, 3510, 3059, 4314, 6213, 6276
2421, 2116, 2010, 3312, 4230, 4181, 4167, 4615, 3584, 3459, 5998, 5875
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 724, 676, 576, 489, 555, 816, 829, 1115, 1397, 2003, 3357
3349, 2999, 3632, 3105, 4514, 5668, 6366, 6230, 4361, 2639, 3622, 4347
1658, 1277, 780, 842, 2257, 2530, 4229, 3320, 2243, 1734, 3498, 3061
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
199255, 200208, 228336, 204474, 235620, 216802, 192781, 205902, 236235, 269919, 307322, 258617
162, 155, 254, 180, 263, 566, 1108, 214, 254, 231, 816, 215
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 351
1584, 2391, 1279, 878, 944, 993, 3473, 2563, 1658, 1556, 1649, 2391
1033, 842, 876, 844, 1056, 1168, 1335, 1392, 2026, 1125, 909, 1749
298, 210, 665, 478, 430, 404, 2408, 792, 2609, 2559, 763, 717
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 702
261, 227, 556, 230, 242, 362, 659, 708, 491, 1596, 2319, 2753
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
857, 1682, 1410, 596, 754, 1942, 2704, 2057, 2232, 1732, 1503, 2152
1508, 2255, 2575, 2735, 2359, 2360, 3153, 5660, 8464, 4927, 4945, 8158
0, 0, 0, 0, 0, 0, 0, 197, 0, 43, 182, 96
291, 291, 416, 396, 379, 368, 384, 405, 428, 620, 1065, 4871
1580, 1245, 1288, 1057, 1478, 1685, 2223, 2171, 990, 2016, 2441, 2805
4014, 5647, 3467, 2694, 2128, 12946, 13047, 8464, 9479, 10414, 10335, 12422
0, 1406, 1015, 690, 637, 817, 689, 690, 159, 173, 191, 486
1251, 1130, 1739, 1803, 1835, 2004, 3044, 2631, 2079, 2049, 2451, 2525
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11272, 12612, 13246, 13734, 17862, 28591, 28539, 25239, 16614, 16224, 17945, 21221
16720, 10804, 13912, 13523, 16104, 23698, 24064, 20557, 18233, 19697, 26001, 29100
0, 0, 0, 469, 470, 1649, 1489, 1161, 977, 2962, 1800, 209
0, 493, 414, 93, 205, 270, 326, 336, 264, 501, 497, 625
688, 556, 466, 180, 329, 433, 519, 600, 397, 179, 732, 815
1588, 1279, 2643, 1713, 1999, 2653, 2553, 2108, 1829, 1639, 3388, 3071
24046, 24046, 26904, 24726, 31461, 45389, 43343, 35441, 27641, 27272, 26584, 31724
1818, 1477, 1205, 1057, 783, 1373, 1460, 1134, 956, 1119, 1469, 1910
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
329, 494, 315, 442, 830, 1165, 754, 605, 808, 1040, 1412, 1285
3211, 2681, 2903, 2268, 4328, 4795, 5517, 3493, 2365, 2399, 4175, 3820
1186, 1201, 950, 893, 1151, 2059, 2148, 2043, 1342, 1187, 1932, 2131
60212, 61043, 53951, 54567, 71777, 92185, 67922, 70744, 59233, 58284, 66010, 71698
7238, 14927, 8683, 3720, 6070, 6858, 8788, 4867, 3985, 7134, 21683, 27217
2497, 2426, 2171, 2226, 2928, 7269, 5545, 4292, 2385, 2051, 2745, 3341
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 236, 39
0, 124, 52, 48, 46, 57, 77, 2013, 991, 1430, 1387, 835
0, 0, 0, 0, 0, 0, 0, 205, 184, 156, 215, 222
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 269, 87, 977, 629, 512, 475, 1217, 934
0, 0, 0, 0, 0, 264, 290, 262, 189, 225, 646, 640
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1130, 2234, 4794, 2567, 1849, 4009, 6434, 4780, 1824, 1410, 3354, 3240
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5615, 5127, 3492, 3060, 4697, 4495, 4495, 4013, 3915, 3504, 4347, 4670
19565, 20081, 21319, 17150, 21279, 19427, 22810, 20626, 22940, 18291, 21434, 22413
53019, 48984, 51089, 45242, 60778, 72671, 88543, 80985, 61682, 55482, 57280, 59418
2091, 1984, 1757, 1370, 2001, 2724, 4185, 3281, 1797, 1461, 2225, 3265
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 886, 1976, 2181, 4863, 5022, 9042, 12119, 14993
0, 822, 1117, 1195, 1048, 607, 669, 696, 1230, 1595, 1906, 1329
5277, 4089, 3476, 6234, 8383, 10940, 10770, 7191, 4370, 6247, 5627, 6825
1129, 1053, 1116, 1240, 1817, 2306, 1969, 1694, 1209, 1446, 1550, 1754
532, 358, 321, 574, 1466, 2066, 1789, 1376, 782, 340, 445, 562
1997, 1737, 1512, 1436, 5103, 4973, 4395, 2843, 1631, 1645, 2537, 2409
11280, 10458, 10540, 9272, 10726, 12707, 11263, 11339, 8791, 9960, 9629, 12861
3573, 3391, 2964, 2478, 2585, 3215, 8251, 6755, 4584, 3913, 2566, 5859
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
379, 402, 322, 481, 498, 1562, 2029, 1676, 1166, 695, 752, 1373
470, 469, 1001, 963, 2282, 2952, 3075, 2468, 1226, 830, 1176, 3356
174, 328, 1568, 1925, 1452, 1587, 1585, 2127, 4027, 3420, 2363, 5363
2785, 2744, 2074, 1613, 2260, 5315, 5537, 4443, 2184, 2390, 2819, 3661
1277, 2313, 1850, 1564, 2009, 1839, 3028, 2577, 2098, 1616, 3928, 3411
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 132, 121, 112, 105, 121, 124, 131, 150
3451, 1998, 2120, 2102, 3838, 4896, 4954, 3889, 2900, 3064, 3883, 5756
0, 0, 24, 165, 613, 1079, 1081, 2362, 653, 588, 59, 60
3384, 3201, 2644, 3236, 3795, 8870, 7673, 4807, 3040, 2642, 3808, 4050
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 865, 2
12399, 11624, 9809, 11652, 13127, 21458, 28459, 17559, 14191, 17310, 23719, 28085
3490, 3117, 3050, 3049, 3619, 4860, 4822, 4119, 3773, 3231, 6141, 6607
7269, 7804, 7456, 6688, 7478, 18146, 14968, 11638, 7164, 6606, 14638, 14285
672, 1046, 839, 862, 1035, 1843, 1128, 759, 1391, 1238, 1091, 1292
12482, 8606, 9383, 13721, 13638, 23670, 19501, 27573, 16363, 15284, 25599, 29403
6848, 6800, 6901, 7587, 8814, 12983, 12806, 11363, 8897, 7630, 13427, 15625
1539, 1896, 1616, 1656, 1964, 3562, 4653, 3055, 2264, 1563, 2953, 2462
8206, 13971, 14970, 15276, 15448, 24651, 21319, 22462, 13731, 11054, 25362, 20978
267, 1111, 1662, 1417, 1354, 1661, 2100, 3348, 2557, 2571, 1608, 4997
10149, 9086, 6269, 7229, 9214, 15564, 16147, 11151, 7109, 11738, 16607, 19261
2866, 3553, 2343, 2488, 3083, 4206, 6965, 5979, 4944, 6677, 7333, 6045
3767, 3398, 3126, 4937, 5207, 6293, 7720, 3911, 3455, 3105, 4272, 4405
762, 2156, 2511, 2571, 2269, 3041, 3746, 4183, 8166, 4139, 4313, 5177
976, 1576, 741, 569, 1358, 2599, 2971, 1193, 905, 726, 1893, 1657
11412, 12800, 11194, 11972, 14956, 19276, 24878, 21876, 16304, 14688, 18028, 19368
4045, 3560, 3140, 3638, 4357, 9507, 8247, 7184, 6269, 4625, 7534, 8970
20200, 20940, 23357, 27933, 33832, 38346, 46430, 55433, 39231, 37712, 42726, 44460
9087, 11045, 8624, 8711, 9764, 16616, 16751, 10789, 7000, 12403, 14490, 14353
3822, 2486, 2579, 2842, 3049, 7072, 8784, 5829, 4696, 3628, 4604, 5682
2800, 3028, 3072, 3100, 4524, 6491, 6687, 5596, 3976, 3133, 3432, 4514
11256, 9107, 7233, 7657, 11009, 18308, 15427, 11698, 7560, 7919, 13514, 16145
12720, 8085, 8082, 9011, 11218, 15685, 15458, 13539, 10397, 13146, 22108, 21362
8251, 7602, 6589, 7596, 9707, 14169, 12320, 9871, 7434, 8148, 10240, 11271
6399, 5223, 4575, 5038, 6789, 10814, 9207, 7563, 4830, 6106, 10172, 9879
8719, 7763, 6314, 6448, 10294, 15813, 14643, 11486, 7316, 7813, 11509, 13618
1080, 923, 821, 875, 1509, 2225, 1846, 1710, 1464, 2009, 2573, 3139
5035, 3760, 1582, 1035, 1138, 2222, 2084, 1151, 894, 1638, 5919, 5118
5238, 4251, 3120, 3411, 4139, 6231, 5104, 4071, 3339, 4543, 8176, 7775
2984, 2424, 2238, 2625, 4084, 5432, 4406, 4565, 2480, 2390, 3776, 4395
1924, 1981, 1669, 1875, 2573, 4228, 3665, 2996, 1807, 1823, 3309, 2784
0, 44, 40, 34, 29, 277, 444, 377, 495, 536, 1736, 983
3671, 2905, 3109, 5485, 4680, 11956, 8841, 8370, 5716, 7455, 15336, 20514
8370, 5874, 4952, 5171, 8026, 13624, 11303, 7863, 5559, 6184, 8801, 9271
843, 687, 503, 490, 657, 755, 748, 1744, 445, 543, 1022, 1190
34037, 32784, 28088, 32344, 37869, 51833, 43922, 40010, 31467, 34157, 43998, 47924
5023, 4506, 3872, 4352, 4617, 5635, 6056, 5099, 4042, 3523, 4667, 5035
15833, 12052, 7464, 7834, 9368, 15953, 13578, 10553, 6906, 7424, 13762, 16261
1119, 1132, 919, 815, 502, 538, 648, 1062, 1129, 1146, 1411, 1603
2822, 2615, 2634, 1943, 1192, 1382, 1547, 2576, 2536, 2304, 2296, 1739
5663, 5261, 4336, 3393, 4168, 5906, 5912, 6572, 5796, 5544, 6369, 5118
5210, 5283, 4706, 5020, 6492, 9452, 9300, 6836, 4653, 4885, 6985, 5745
3502, 1981, 1612, 1542, 1602, 3236, 4462, 1822, 1981, 4037, 3871, 3100
3386, 3597, 3579, 3174, 4148, 6892, 12205, 7274, 5047, 5765, 8297, 7518
7007, 6461, 5611, 7682, 7951, 13022, 14875, 9058, 5629, 6357, 10528, 9169
6903, 7074, 6433, 6175, 8082, 12722, 14505, 9766, 7659, 7059, 11541, 13423
5193, 4266, 3525, 3876, 5086, 7879, 8254, 5229, 3727, 3609, 6846, 5504
1323, 989, 1049, 709, 429, 303, 754, 2537, 1702, 1754, 2117, 1546
2259, 1736, 3303, 1915, 3020, 4292, 4756, 3013, 2270, 2467, 3484, 3658
5601, 5019, 4778, 4901, 5975, 10468, 9586, 7183, 5323, 4838, 7373, 6406
2617, 2017, 1850, 1919, 2265, 2698, 2872, 2016, 1496, 1721, 2751, 2447
609, 547, 1308, 1149, 2823, 4699, 4774, 3864, 2705, 3036, 4191, 4430
14209, 11515, 13079, 10646, 17710, 24607, 23375, 15780, 12557, 15686, 19204, 23267
340, 276, 183, 171, 262, 320, 538, 400, 322, 327, 277, 287
9727, 6688, 4858, 4282, 4668, 8765, 16115, 10355, 4933, 6545, 12276, 12675
11655, 10116, 5942, 4753, 5375, 11299, 9956, 7214, 6377, 11162, 18815, 21095
1761, 1574, 1384, 1480, 2023, 3520, 3212, 4501, 2074, 1479, 2528, 2288
5699, 6180, 5340, 5296, 7777, 14908, 20192, 11315, 6283, 6696, 8686, 7608
0, 0, 289, 118, 106, 128, 279, 5775, 5763, 4603, 3742, 3153
681, 553, 378, 793, 1854, 2259, 2354, 1534, 3652, 1736, 1846, 1856
1568, 1273, 1277, 905, 2326, 3601, 3630, 1988, 1372, 1551, 1622, 1971
8044, 6432, 8312, 5674, 8390, 10936, 11179, 7227, 5083, 6267, 6946, 9151
235, 418, 1818, 4111, 1508, 2010, 4187, 3505, 2117, 1281, 2174, 1727
8464, 8991, 7573, 8594, 9966, 19456, 19383, 13680, 10744, 10511, 14672, 12031
1207, 1729, 1854, 1763, 1624, 2277, 2299, 1922, 1072, 1578, 2299, 2090
7315, 5793, 7432, 6801, 11697, 16638, 16561, 11123, 9517, 9343, 11871, 13915
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
285, 248, 213, 184, 223, 335, 377, 4188, 4233, 2037, 1052, 722
4542, 8707, 6322, 7537, 8312, 13175, 15861, 9757, 9957, 9299, 12900, 13100
4070, 7319, 6455, 5460, 6091, 9044, 5382, 6166, 5748, 8460, 9605, 9083
659, 534, 695, 630, 1069, 1350, 1400, 929, 654, 799, 892, 1051
4929, 3930, 4887, 3823, 5352, 7611, 7447, 4738, 4361, 4328, 5870, 6946
8635, 6967, 6458, 5720, 11759, 16556, 15906, 10514, 7845, 8351, 9848, 17077
6689, 5395, 3586, 3041, 4001, 5188, 5472, 3641, 3220, 5656, 6991, 8166
1225, 994, 1539, 1526, 2609, 3236, 3627, 2778, 5675, 3614, 3809, 4023
7010, 5712, 3650, 3350, 4813, 7264, 6266, 4390, 3757, 4752, 5174, 5919
1521, 1631, 1219, 1236, 1813, 2943, 3190, 2169, 1851, 1608, 1953, 2369
7605, 7208, 9243, 6290, 8981, 13167, 13583, 9980, 7725, 7750, 9936, 11486
1907, 1549, 1933, 2299, 3073, 4378, 4484, 3019, 2120, 2767, 3136, 4382
13242, 12236, 12468, 11347, 16728, 25751, 30937, 21654, 15974, 17646, 28176, 23465
2903, 3275, 2562, 1889, 2184, 7893, 6188, 4763, 2075, 2657, 5183, 4092
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2831, 4146, 4325, 3715, 4329, 7157, 7058, 8001, 7440, 5115, 6911, 6077
529, 450, 1471, 1383, 2540, 2431, 2496, 5718, 2430, 2273, 3552, 3135
6094, 5093, 7260, 6045, 10873, 11760, 12785, 10423, 8085, 6124, 10799, 13366
10945, 10437, 10556, 10958, 12441, 13610, 12870, 11718, 8842, 11396, 12448, 13492
647, 647, 647, 647, 647, 647, 647, 4492, 4624, 2657, 1676, 1956
272, 4340, 3851, 5550, 4371, 5304, 5073, 5387, 4943, 5608, 10798, 6880
2635, 4335, 3923, 3411, 6859, 11148, 9711, 6836, 3665, 4918, 5563, 4853
6895, 6086, 8171, 7299, 10969, 11985, 11877, 10647, 7471, 7302, 7143, 8105
6497, 5999, 7454, 6664, 9889, 11648, 11182, 8234, 6319, 5688, 6466, 6616
3970, 3550, 3194, 3368, 4454, 5479, 6067, 5413, 3938, 4587, 5535, 7103
33592, 29804, 37448, 33748, 47080, 50608, 53172, 41601, 35836, 35474, 32968, 39784
1596, 1788, 2029, 1579, 2788, 3647, 4529, 4600, 2876, 2731, 3237, 3263
18961, 22118, 23649, 19903, 27240, 31317, 28486, 24960, 24811, 13157, 26406, 27704
413, 353, 317, 351, 470, 705, 1008, 1915, 677, 1323, 1949, 1689
2703, 2274, 1943, 2337, 4056, 6666, 7628, 6392, 2555, 2571, 4246, 3463
2534, 3317, 2717, 4747, 4032, 7554, 6249, 4309, 2330, 2652, 4209, 4403
2385, 3712, 2561, 2744, 3321, 11820, 8414, 5053, 2795, 2639, 4855, 4193
3667, 2732, 1782, 1820, 2202, 3133, 3528, 2484, 1970, 2983, 3564, 7405
862, 1746, 1604, 1388, 1385, 1715, 2577, 5022, 3873, 1802, 5684, 4736
2255, 3140, 5454, 9038, 10398, 8290, 8936, 11939, 9619, 6506, 9681, 9793
8961, 8735, 8283, 8965, 10462, 23790, 17581, 12407, 8537, 9651, 15225, 13036
0, 3998, 3085, 876, 1070, 2291, 2860, 727, 499, 1474, 1845, 1869
1703, 2528, 2112, 1470, 1796, 1508, 1882, 1590, 1091, 1491, 1866, 1525
5776, 3801, 4146, 4527, 5305, 10714, 8919, 7257, 5800, 5830, 7198, 6846
9169, 6142, 5954, 5314, 6480, 14888, 14526, 8368, 13201, 7327, 15135, 16986
5557, 5049, 3975, 4199, 4658, 6708, 10824, 13737, 3988, 4240, 8308, 8013
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8787, 8521, 8043, 8037, 10130, 19431, 18944, 14517, 10340, 9930, 13365, 16417
0, 3244, 7391, 5644, 4008, 1272, 854, 783, 691, 2880, 4817, 8444
10501, 10226, 9121, 9560, 11960, 25164, 25126, 16662, 12888, 16095, 20435, 23382
5509, 4654, 4468, 4791, 5794, 14451, 10064, 7003, 5175, 5049, 6350, 6542
10409, 10076, 9856, 10596, 13201, 25468, 26135, 19728, 13264, 12026, 17302, 19422
2582, 2115, 2548, 2485, 2879, 3912, 5056, 2865, 2254, 2797, 3615, 3834
3605, 5708, 3033, 3259, 4010, 6274, 7307, 6541, 5133, 7000, 9518, 9988
2925, 4201, 2461, 2678, 2998, 4768, 4555, 5725, 3895, 4666, 6522, 6759
2375, 5690, 3453, 3359, 3728, 8833, 7164, 6692, 3665, 4319, 8051, 6570
4103, 6990, 6098, 6473, 6147, 9433, 8555, 7416, 8716, 8460, 10732, 13281
1584, 1840, 2030, 1722, 2103, 4517, 6448, 6434, 4655, 7180, 6239, 7168
141938, 115704, 122267, 128991, 131275, 135201, 144341, 146023, 133934, 133727, 168708, 143813
480, 524, 324, 234, 303, 152, 359, 312, 1475, 1040, 1245, 1329
74237, 71676, 69999, 75693, 90385, 93755, 97110, 88302, 71182, 71778, 78693, 84595
245, 892, 837, 684, 789, 1104, 1368, 1738, 647, 762, 982, 1181
298, 1088, 417, 451, 516, 1543, 1312, 954, 1012, 1061, 1370, 1465
2281, 2656, 1891, 2041, 2469, 4496, 4742, 1693, 2043, 2211, 3474, 3401
10079, 12137, 10268, 9580, 11699, 21715, 20619, 14624, 11497, 11637, 17391, 20444
1725, 1241, 926, 1350, 1521, 3951, 3270, 2088, 1343, 1291, 1657, 2166
481, 684, 503, 534, 620, 1064, 2262, 1738, 1345, 1133, 2768, 2848
5220, 8068, 7334, 6904, 8173, 15830, 17704, 13765, 10212, 9671, 12043, 12108
668, 246, 313, 290, 356, 733, 1734, 1331, 1176, 2411, 4456, 2864
15134, 12128, 10658, 13347, 13661, 23053, 24071, 14948, 10316, 11731, 17385, 20377
5642, 23773, 14336, 16993, 17554, 19851, 20334, 20190, 17267, 17400, 18138, 21318
5549, 5528, 4880, 5278, 7582, 9063, 11318, 8360, 5950, 5966, 13531, 10231
1090, 298, 613, 568, 1527, 1934, 2245, 1087, 2914, 1345, 5862, 7924
3221, 2827, 2058, 2379, 3686, 8890, 6609, 2392, 1793, 1721, 2973, 3515
10127, 10667, 8670, 9598, 14949, 22674, 17247, 13255, 9036, 8888, 14436, 12540
3587, 3649, 3098, 3526, 4031, 10513, 7139, 4582, 3265, 3434, 4750, 3891
195, 279, 233, 272, 392, 408, 447, 356, 242, 307, 565, 865
7681, 9416, 11579, 8693, 9646, 16406, 13880, 10158, 7830, 9998, 11943, 13193
8378, 7380, 6263, 5877, 6943, 12188, 13590, 9875, 6556, 7107, 10049, 10684
3365, 4645, 3588, 3902, 4373, 5165, 5753, 4319, 4177, 4290, 5597, 5931
665, 836, 492, 662, 730, 2651, 1748, 1111, 854, 1244, 1557, 1932
0, 167, 207, 178, 158, 1080, 1523, 960, 1209, 711, 1516, 1691
5457, 5780, 4109, 4488, 4602, 13170, 13371, 8250, 6729, 5369, 6141, 7814
3182, 4170, 3338, 3202, 3482, 4450, 5986, 3658, 2880, 3089, 3815, 11981
2328, 1055, 1050, 1036, 1179, 1014, 1241, 984, 698, 935, 1142, 1226
10271, 12266, 9846, 9954, 11520, 18459, 20681, 14662, 11443, 11967, 14351, 22730
2885, 2072, 1739, 2061, 1795, 5794, 6334, 3252, 2380, 2444, 2867, 3839
4644, 3318, 2781, 2845, 3606, 5266, 5025, 3022, 2126, 2246, 3017, 4786
5940, 3038, 3656, 3962, 4350, 6170, 6365, 4303, 3119, 3688, 5582, 12741
6089, 5643, 5948, 6258, 6970, 11942, 11701, 9673, 7736, 6340, 7305, 10715
9896, 9487, 7391, 8960, 11320, 17869, 17828, 10837, 7837, 9116, 10754, 15905
3349, 2176, 1876, 2394, 2665, 6556, 5252, 3691, 2676, 2618, 3253, 4088
3133, 2989, 3620, 2993, 3573, 5120, 5586, 3990, 2985, 4872, 5141, 5606
3555, 4111, 4479, 3849, 5102, 7144, 5239, 5024, 4112, 5708, 8220, 7968
12141, 11688, 15035, 11800, 13600, 16979, 18319, 14938, 13274, 13553, 15417, 16639
5340, 6617, 5490, 6205, 7039, 9609, 16399, 9712, 7141, 6550, 7591, 8179
1017, 1311, 1104, 1167, 1319, 3387, 2636, 4655, 2577, 3160, 3396, 3825
967, 3970, 3154, 1387, 4150, 7390, 5571, 6501, 2859, 2627, 5491, 5685
5596, 3570, 2739, 2474, 3043, 3891, 8239, 7308, 6783, 5193, 10418, 10316
8700, 10434, 9350, 11235, 14416, 18978, 18581, 15536, 12997, 11732, 15483, 19054
1812, 2333, 2026, 2657, 2698, 3978, 4832, 4168, 3231, 2818, 3252, 2715
654, 1880, 490, 886, 911, 1335, 1711, 1582, 1069, 2373, 2820, 2232
424, 369, 317, 275, 333, 500, 1947, 1455, 999, 1236, 4313, 4610
19810, 20057, 28626, 26033, 31750, 35625, 36717, 31750, 25017, 25008, 31465, 35051
1973, 2778, 2453, 2090, 2083, 3868, 3422, 3169, 2370, 2381, 3368, 3634
5816, 5689, 4811, 5339, 4928, 5374, 5900, 6007, 5960, 3618, 7137, 9745
4706, 3015, 4548, 3002, 6571, 10346, 7214, 6104, 5365, 5072, 5982, 7703
4812, 4479, 4165, 3580, 5595, 9876, 7224, 4945, 6556, 5192, 5348, 7514
11628, 11144, 9439, 8322, 18094, 25821, 19658, 15699, 10747, 10260, 14066, 29799
2249, 2116, 1926, 2059, 4045, 4791, 5382, 3168, 2233, 1921, 3351, 3138
1033, 1193, 824, 904, 1900, 2572, 3456, 1655, 1272, 1050, 3653, 3278
2754, 1459, 1230, 1200, 1437, 1574, 2098, 828, 1860, 1562, 3514, 4012
404, 488, 454, 415, 836, 1131, 1233, 581, 537, 431, 583, 563
6398, 3831, 4150, 4186, 7769, 11764, 13691, 5472, 4781, 4237, 8388, 8178
10366, 12407, 14195, 11808, 12658, 20266, 23058, 18470, 10782, 8544, 21388, 19652
1450, 2148, 1210, 1231, 1303, 1381, 1714, 1039, 884, 732, 2036, 2270
6693, 6992, 5619, 6724, 11541, 15283, 18084, 12542, 8681, 7527, 10107, 10052
1662, 805, 880, 976, 2051, 2865, 3696, 521, 815, 685, 986, 1028
703, 571, 596, 493, 580, 881, 998, 732, 694, 526, 2172, 1800
2129, 1340, 1076, 970, 1139, 2078, 2680, 1348, 1399, 1639, 2080, 1909
22180, 18466, 17877, 16462, 16948, 19239, 20110, 17545, 19100, 23009, 26285, 26975
1958, 2049, 1697, 1898, 2279, 5559, 3793, 2322, 2274, 1936, 3231, 3692
7945, 6391, 5625, 7348, 9642, 21900, 15950, 11198, 6605, 6884, 9976, 11754
2326, 2887, 2863, 3260, 3230, 3711, 3812, 2967, 1448, 1439, 5162, 3520
3926, 3985, 3909, 4043, 6411, 7039, 7381, 6161, 4758, 4677, 4814, 1614
7936, 11402, 8556, 7633, 15354, 17192, 19574, 14703, 11405, 9986, 14277, 13362
3135, 3895, 1417, 1076, 1666, 2059, 2260, 1629, 2270, 1758, 2383, 1692
9160, 9936, 10468, 9683, 12571, 13750, 14884, 13005, 11186, 9745, 14490, 15710
37850, 32415, 27986, 30508, 39965, 46669, 42085, 36863, 28484, 25721, 38220, 46523
0, 356, 310, 267, 277, 319, 3995, 5433, 3807, 5636, 5904, 6619
5737, 4899, 4026, 4168, 4730, 16138, 10680, 6723, 4935, 5500, 9578, 9350
10933, 11449, 7774, 7768, 12782, 18402, 24600, 10959, 7686, 9200, 14432, 14545
483, 563, 534, 514, 596, 726, 783, 1682, 1519, 1129, 5808, 6249
564, 490, 422, 366, 443, 665, 2360, 478, 307, 413, 463, 849
0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 76, 140
8429, 7174, 6520, 5921, 12358, 20537, 15730, 12336, 7746, 8191, 11748, 13098
29865, 22224, 44965, 23480, 24925, 29590, 28173, 21749, 18595, 26747, 87533, 90995
0, 625, 272, 225, 844, 1334, 745, 816, 560, 484, 1271, 1884
7948, 7601, 9618, 7263, 9655, 14298, 22566, 13872, 12370, 10074, 11669, 13430
1209, 1390, 1207, 1322, 1602, 2110, 2415, 1956, 1646, 1701, 2834, 2752
3440, 77236, 56490, 45895, 52086, 42925, 36781, 48596, 52158, 43897, 58356, 60766
7392, 7044, 6036, 6035, 10421, 14928, 16907, 5245, 6759, 7041, 12175, 12286
3311, 2214, 1839, 1910, 2786, 5735, 5927, 2686, 1904, 1581, 5178, 4717
2206, 2359, 2094, 2181, 3085, 7423, 6339, 4658, 3604, 5095, 5901, 11584
2497, 2122, 1740, 1488, 1642, 2595, 2064, 1538, 1130, 983, 3834, 2611
1972, 1866, 1931, 2392, 2987, 5700, 4709, 4406, 3661, 3790, 4482, 4461
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10821, 9288, 6829, 6855, 7922, 13451, 12864, 9139, 6839, 7799, 11193, 12506
486, 470, 391, 386, 426, 589, 500, 394, 375, 723, 1353, 1583
9870, 9050, 8300, 8788, 9803, 12320, 10814, 9756, 8780, 8604, 10487, 12071
7497, 5279, 4308, 3828, 4449, 16988, 17544, 11641, 8172, 6971, 8379, 16594
6894, 9543, 10596, 6362, 9849, 18213, 17280, 12943, 7104, 6825, 9782, 11117
1019, 843, 715, 634, 699, 4184, 1720, 1074, 680, 778, 832, 889
3019, 4538, 3290, 4102, 4003, 5473, 5607, 5724, 4416, 4559, 11709, 6919
285, 280, 298, 267, 323, 2146, 1250, 759, 348, 354, 403, 440
1555, 4316, 3461, 3451, 4307, 8815, 11250, 7442, 3927, 3898, 5869, 5918
3615, 3134, 4572, 3153, 3555, 8583, 6592, 4706, 3483, 3654, 4521, 4779
2560, 1963, 3108, 2582, 2508, 3061, 3265, 1848, 1262, 3814, 4464, 5736
1525, 1317, 1485, 1361, 2248, 4045, 5719, 2238, 1179, 2370, 1969, 2058
4635, 9434, 7199, 10732, 11248, 14134, 18192, 12584, 10613, 10952, 14769, 14151
4700, 5434, 5225, 5891, 6526, 13771, 13111, 9362, 6694, 6265, 12481, 9487
